(('Pica', 'US-WY'), (38495, 0.018787687252937807))
(('Larus', 'US-NY'), (1431502, 0.018759345189052593))
(('Sayornis', 'US-CA'), (239928, 0.018753914652650666))
(('Diglossa', 'MX-DIF'), (5831, 0.018750576843391965))
(('Pica', 'US-AK'), (69491, 0.01871516604258787))
(('Calcarius', 'US-AK'), (48011, 0.018688206853981114))
(('Euphonia', 'MX-CHP'), (9140, 0.018653145813796308))
(('Perisoreus', 'CA-YT'), (9309, 0.018652260087802595))
(('Gallinula', 'US-FL'), (389659, 0.018635368427676578))
(('Trogon', 'MX-CAM'), (3119, 0.018623562658041035))
(('Psilorhinus', 'MX-SLP'), (1064, 0.018621389371829597))
(('Myiozetetes', 'MX-TAB'), (2370, 0.018618682693345632))
(('Euphonia', 'MX-VER'), (14613, 0.018545986027423033))
(('Pipilo', 'US-GA'), (264145, 0.018525473682029787))
(('Bucephala', 'CA-BC'), (355021, 0.018426741518969322))
(('Thryophilus', 'MX-COL'), (1839, 0.01842453666373344))
(('Phalaropus', 'US-AK'), (51846, 0.018401203924905355))
(('Urile', 'US-AK'), (49988, 0.01839200283204909))
(('Polioptila', 'US-FL'), (533018, 0.018366812802816997))
(('Somateria', 'CA-NS'), (44525, 0.018289181264302415))
(('Selasphorus', 'US-NM'), (90897, 0.018284661448722605))
(('Colaptes', 'CA-BC'), (476541, 0.018170839587681866))
(('Somateria', 'CA-NU'), (7100, 0.018042321808539052))
(('Colaptes', 'US-CO'), (443194, 0.018002941802653626))
(('Antigone', 'US-WI'), (231518, 0.018000585844499126))
(('Bucephala', 'CA-AB'), (149429, 0.01799059335920895))
(('Melanitta', 'US-AK'), (66342, 0.017892641557491852))
(('Amazilia', 'MX-ROO'), (9474, 0.017879840864734077))
(('Crotophaga', 'MX-NAY'), (10642, 0.01786061332683284))
(('Bucephala', 'US-WA'), (416455, 0.017856821288376724))
(('Sporophila', 'MX-TAB'), (1848, 0.01778887673057531))
(('Trogon', 'MX-ROO'), (8887, 0.017773826662438395))
(('Psaltriparus', 'US-CA'), (112390, 0.017754932951786186))
(('Dives', 'MX-CHP'), (8821, 0.017699261081953577))
(('Sialia', 'US-GA'), (249060, 0.017688384739221328))
(('Callipepla', 'US-ID'), (53404, 0.01762864923679275))
(('Junco', 'US-WA'), (548378, 0.01762036580779347))
(('Dives', 'MX-CAM'), (2654, 0.01761914909055779))
(('Cassiculus', 'MX-GRO'), (1274, 0.017573998115777742))
(('Sayornis', 'US-AZ'), (422574, 0.017522788071644094))
(('Mimus', 'US-AL'), (130529, 0.017479554053620224))
(('Pipilo', 'US-NC'), (295792, 0.017402143157306572))
(('Cassiculus', 'MX-JAL'), (7581, 0.017392295167633104))
(('Thryomanes', 'US-WA'), (258496, 0.017320250521274793))
(('Larus', 'CA-BC'), (738469, 0.017288428375951063))
(('Amazona', 'MX-CAM'), (2712, 0.017269145953321244))
(('Leucophaeus', 'US-FL'), (438646, 0.01724914652925676))
(('Myiozetetes', 'MX-MOR'), (2502, 0.01724088313750101))
(('Amazona', 'MX-CHP'), (8695, 0.01719748430918945))
(('Phainopepla', 'US-AZ'), (200508, 0.01714136449428654))
(('Pternistis', 'US-HI'), (12575, 0.017089489519166366))
(('Myadestes', 'US-HI'), (16072, 0.017073190235778003))
(('Ardenna', 'US-HI'), (14445, 0.017032999342483906))
(('Megarynchus', 'MX-TAB'), (1430, 0.01699929560502585))
(('Myiozetetes', 'MX-JAL'), (8232, 0.016974128866945024))
(('Histrionicus', 'US-AK'), (43598, 0.016945788369874586))
(('Myiozetetes', 'MX-OAX'), (8385, 0.016860674456071395))
(('Campylorhynchus', 'US-AZ'), (200611, 0.016854573412941026))
(('Saltator', 'MX-NAY'), (9845, 0.016850265600916174))
(('Baeolophus', 'US-PA'), (620147, 0.016824880219545306))
(('Pyrocephalus', 'MX-OAX'), (11254, 0.01676565407075974))
(('Spatula', 'CA-AB'), (133967, 0.016757396857373222))
(('Coragyps', 'US-TX'), (548178, 0.01670358160307466))
(('Baeolophus', 'US-VA'), (475019, 0.016663910661739417))
(('Sturnella', 'US-CO'), (242270, 0.0166633898641759))
(('Acanthis', 'CA-YT'), (12355, 0.016658145712650646))
(('Sporophila', 'MX-VER'), (13355, 0.01663505575053108))
(('Psilorhinus', 'MX-ROO'), (7859, 0.016625205467851144))
(('Toxostoma', 'US-GA'), (179634, 0.016534531532771037))
(('Melanoptila', 'MX-ROO'), (7434, 0.016527704700398153))
(('Thryothorus', 'US-PA'), (557667, 0.016490245071668484))
(('Melanerpes', 'US-AZ'), (623372, 0.016485369965775307))
(('Ixoreus', 'US-AK'), (44517, 0.01647616647279925))
(('Somateria', 'CA-NB'), (19072, 0.016446484844495787))
(('Leucolia', 'MX-MIC'), (1837, 0.016445618308712797))
(('Jacana', 'MX-TAB'), (1381, 0.01642377504715441))
(('Mareca', 'US-WA'), (369522, 0.016380856870835674))
(('Arenaria', 'US-HI'), (19248, 0.01633389197636982))
(('Mimus', 'US-LA'), (164645, 0.016322445281229274))
(('Poecile', 'CA-QC'), (1087392, 0.01630662841836541))
(('Sialia', 'US-TN'), (181103, 0.016265901573831728))
(('Haemorhous', 'US-AZ'), (613700, 0.016257465100119578))
(('Numenius', 'MX-BCN'), (9326, 0.016249163212024218))
(('Patagioenas', 'MX-VER'), (15580, 0.016228971863033854))
(('Corvus', 'CA-BC'), (954472, 0.016217300210006756))
(('Junco', 'US-OR'), (448962, 0.016214577229501047))
(('Pyrocephalus', 'MX-JAL'), (10689, 0.01621058253831246))
(('Thryomanes', 'MX-DIF'), (16696, 0.01620379161896848))
