objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Tales & Games: The Hare & the Tortoise","130176","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","100229685","6.57266","7.08483","1.3669","999","6635","thing","Tales & Games: The Hare & the Tortoise","2","5","20","20","15","2011","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tales of the Arabian Nights","34119","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233146","6.90825","7.17707","2.1525","520","17681","thing","Tales of the Arabian Nights","1","6","120","120","120","2009","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tarot","4505","0","","0","1","0","0","0","0","0","0","0","3","","Colorized Tarot de Marseille by Fournier","","","","100228323","5.86069","6.81539","2.4681","3519","1610","thing","Tarot","2","8","30","30","30","2017","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Heraclio Fournier","French","2017","Fournier French deluxe edition"
"Telestrations","46213","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","100233141","7.16043","7.39282","1.0733","281","22614","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Telestrations","46213","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","100233148","7.16043","7.39282","1.0733","281","22614","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Timeline: Events","113401","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100231383","6.40013","6.77571","1.0949","1316","9088","thing","Timeline: Events","2","8","15","15","15","2011","2,3,4,5,6,7,8","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Trains: Rising Sun","157001","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100230355","6.4654","7.42899","2.4355","1193","3758","thing","Trains: Rising Sun","2","4","45","45","45","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Trivial Pursuit: 2000s","207911","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233149","5.50337","5.61075","1","18786","886","thing","Trivial Pursuit: 2000s","2","6","45","45","45","2016","3,4,5,6","4,5,6","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tsuro","16992","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228758","6.54478","6.66719","1.2273","1044","38050","thing","Tsuro","2","8","20","20","15","2005","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tumblin-Dice","16747","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","67458970","6.6908","7.20953","1.0437","801","4195","thing","Tumblin-Dice","2","4","45","45","45","2004","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Watson & Holmes","182694","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228289","6.51526","7.30769","2.1633","1100","5243","thing","Watson & Holmes","2","7","75","75","45","2015","3,4,5,6,7","4,5","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Welcome to the Dungeon","150312","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","100229715","6.41864","6.56417","1.2334","1283","23542","thing","Welcome to the Dungeon","2","4","30","30","30","2013","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Win, Lose, or Banana","47082","0","","0","1","0","0","0","0","0","0","0","3","","","","","","63123849","5.44635","5.40053","1.0725","22926","1144","thing","Win, Lose, or Banana","3","3","1","1","1","2009","3","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Witness","164265","5","","0","1","0","0","0","0","0","0","0","3","","","","","","100233156","6.52954","7.25528","1.5","1067","3868","thing","Witness","4","4","15","15","15","2014","4","4","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Wits & Wagers","20100","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233158","6.75386","6.92941","1.2101","701","19846","thing","Wits & Wagers","3","7","25","25","25","2005","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Zendo","6830","9","","0","1","0","0","0","0","1","0","0","3","","","","","","68891172","6.56581","7.22429","2.5286","1012","3288","thing","Zendo","3","5","60","60","60","2001","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ZÈRTZ","528","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100231032","6.70059","7.27005","2.7455","783","6066","thing","ZÈRTZ","2","2","60","60","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
