(('Henicorhina', 'MX-VER'), (5614, 0.03657743248309673))
(('Oriturus', 'MX-MEX'), (1344, 0.036567614180916905))
(('Psaltriparus', 'US-CA'), (112390, 0.0364841934998375))
(('Ixoreus', 'CA-BC'), (106717, 0.03641987609355481))
(('Arremonops', 'US-TX'), (82550, 0.036409780117942936))
(('Pteroglossus', 'MX-CHP'), (3158, 0.03633663712094575))
(('Streptopelia', 'US-CO'), (292678, 0.036262477508353215))
(('Lepidocolaptes', 'MX-CHP'), (3990, 0.03625287941896743))
(('Saltator', 'MX-CHP'), (9946, 0.036222816377046045))
(('Magumma', 'US-HI'), (1914, 0.03621902040230055))
(('Anabacerthia', 'MX-CHP'), (1735, 0.0359591978891081))
(('Lagopus', 'CA-NU'), (2948, 0.03590968596108229))
(('Columbina', 'US-TX'), (271810, 0.03584784729068658))
(('Dives', 'MX-CHP'), (8821, 0.03578692184739912))
(('Plegadis', 'US-FL'), (235164, 0.035761562459553864))
(('Synallaxis', 'MX-VER'), (3130, 0.03573726101767655))
(('Anthracothorax', 'MX-ROO'), (2764, 0.03571181452501543))
(('Cyanocorax', 'MX-ROO'), (16069, 0.0356950956893046))
(('Loxioides', 'US-HI'), (1839, 0.03550230700968707))
(('Mimus', 'US-FL'), (833905, 0.035483691203136665))
(('Abeillia', 'MX-CHP'), (1239, 0.035303426438477906))
(('Phylloscopus', 'US-AK'), (6322, 0.03519856828217852))
(('Calocitta', 'MX-OAX'), (5450, 0.034826504138895424))
(('Aratinga', 'US-FL'), (47061, 0.03481369105522037))
(('Phaeoptila', 'MX-MOR'), (1285, 0.03467942019654914))
(('Catherpes', 'US-AZ'), (88455, 0.034622922523630396))
(('Myiozetetes', 'MX-NAY'), (12527, 0.03456494042353982))
(('Rhodothraupis', 'MX-NLE'), (1461, 0.0345145460207282))
(('Thryophilus', 'MX-JAL'), (5256, 0.03443992655400061))
(('Cairina', 'US-FL'), (98645, 0.034420419933332516))
(('Thamnophilus', 'MX-CHP'), (3555, 0.0343974473314425))
(('Chiroxiphia', 'MX-CHP'), (1147, 0.034389458837551415))
(('Fregata', 'MX-NAY'), (15661, 0.0343768915338381))
(('Somateria', 'US-MA'), (147689, 0.03433983676778223))
(('Acanthis', 'CA-QC'), (176254, 0.034303467459964675))
(('Trogon', 'MX-NAY'), (11228, 0.034295434472705354))
(('Tyrannus', 'US-TX'), (737231, 0.03426492874828539))
(('Cerorhinca', 'US-WA'), (56517, 0.03416129361648999))
(('Polioptila', 'US-FL'), (533018, 0.03399853595644204))
(('Larus', 'CA-QC'), (1334582, 0.033985225594936844))
(('Cercomacroides', 'MX-CHP'), (1275, 0.03397127562743909))
(('Urile', 'US-AK'), (49988, 0.03392953003331795))
(('Galbula', 'MX-CHP'), (1284, 0.03369421736737208))
(('Thryothorus', 'US-VA'), (597727, 0.0336247379636181))
(('Jacana', 'MX-VER'), (7696, 0.03352882093313589))
(('Elanus', 'US-CA'), (40693, 0.03344777386660684))
(('Urile', 'CA-BC'), (103788, 0.03333093481096103))
(('Saltator', 'MX-NAY'), (9845, 0.03317334015292743))
(('Melanotis', 'MX-OAX'), (5527, 0.03309970682884653))
(('Thryothorus', 'US-NC'), (484010, 0.0330159706728487))
(('Basilinna', 'MX-DIF'), (4721, 0.032661735109551185))
(('Sarcoramphus', 'MX-CHP'), (1488, 0.032623189180883555))
(('Fregata', 'MX-ROO'), (13511, 0.03261838397224004))
(('Amblycercus', 'MX-ROO'), (3156, 0.03258545403358608))
(('Xiphorhynchus', 'MX-CHP'), (5083, 0.0325233935353335))
(('Parabuteo', 'US-TX'), (80483, 0.032499867030204084))
(('Eupsittula', 'MX-NAY'), (7619, 0.03242945561794886))
(('Psaltriparus', 'US-OR'), (141123, 0.032377430958069))
(('Amazona', 'MX-CHP'), (8695, 0.03227095593898459))
(('Crotophaga', 'MX-NAY'), (10642, 0.031932203962971056))
(('Cassiculus', 'MX-COL'), (2398, 0.03189064408808978))
(('Geranoaetus', 'US-TX'), (54492, 0.03186693690420326))
(('Ixoreus', 'US-AK'), (44517, 0.031636398903347046))
(('Lanius', 'US-TX'), (290605, 0.03163533259969981))
(('Myiozetetes', 'MX-CHP'), (10612, 0.03158351817650294))
(('Caryothraustes', 'MX-CHP'), (1525, 0.03157979109895588))
(('Psarocolius', 'MX-CHP'), (4133, 0.031547036557220715))
(('Eumomota', 'MX-ROO'), (3802, 0.031546542767146316))
(('Pyrilia', 'MX-CHP'), (1135, 0.031527803481447396))
(('Chlorospingus', 'MX-CHP'), (3242, 0.03148788143919348))
(('Tiaris', 'MX-YUC'), (3617, 0.031467369820531645))
(('Psilorhinus', 'MX-CAM'), (3386, 0.03144805994102467))
(('Coccothraustes', 'CA-QC'), (137735, 0.03133923252170096))
