(('Falco vespertinus', 'US-MA'), (139, 1.0))
(('Euplectes albonotatus', 'US-MA'), (3, 1.0))
(('Anas platyrhynchos x Aythya americana', 'US-MA'), (14, 1.0))
(('Setophaga castanea x striata', 'US-MA'), (2, 1.0))
(('Aythya baeri', 'US-MA'), (3, 1.0))
(('Aythya nyroca/baeri', 'US-MA'), (1, 1.0))
(('Sterna hirundo x paradisaea', 'US-MA'), (2, 1.0))
(('Crithagra flaviventris', 'US-MA'), (2, 1.0))
(('Rallus tenuirostris/elegans', 'US-MI'), (1, 1.0))
(('Cygnus buccinator x cygnus', 'US-MI'), (35, 1.0))
(('Limosa haemastica/fedoa', 'US-MN'), (1, 1.0))
(('Foudia madagascariensis', 'US-MS'), (1, 1.0))
(('Anas georgica', 'US-MO'), (1, 1.0))
(('Spizella passerina/Helmitheros vermivorum', 'US-MO'), (1, 1.0))
(('Alectoris rufa/graeca', 'US-MO'), (1, 1.0))
(('Quiscalus quiscula x mexicanus', 'US-MT'), (9, 1.0))
(('Setophaga coronata x nigrescens', 'US-MT'), (3, 1.0))
(('Loxia curvirostra x Spinus pinus', 'US-NE'), (1, 1.0))
(('Tetraogallus himalayensis', 'US-NV'), (672, 1.0))
(('Corvus cornix', 'US-NJ'), (1, 1.0))
(('Rallus elegans x crepitans', 'US-NJ'), (1, 1.0))
(('Corvus albicollis', 'US-NJ'), (2, 1.0))
(('Setophaga coronata x dominica', 'US-NJ'), (2, 1.0))
(('Psittacula eupatria', 'US-NM'), (2, 1.0))
(('Ara macao', 'US-NM'), (1, 1.0))
(('Junco hyemalis x phaeonotus', 'US-NM'), (11, 1.0))
(('Porphyrio flavirostris', 'US-NY'), (2, 1.0))
(('Tyrannus couchii x forficatus', 'US-NY'), (8, 1.0))
(('Branta bernicla x hutchinsii', 'US-NY'), (5, 1.0))
(('Melanitta perspicillata x deglandi', 'US-NY'), (2, 1.0))
(('Vireo flavifrons x solitarius', 'US-NY'), (2, 1.0))
(('Pterodroma madeira', 'US-NC'), (3, 1.0))
(('Larus argentatus x glaucoides', 'US-NC'), (1, 1.0))
(('Pterodroma arminjoniana/heraldica', 'US-NC'), (1, 1.0))
(('Fregetta tropica', 'US-NC'), (7, 1.0))
(('Mareca penelope x Anas acuta', 'US-NC'), (1, 1.0))
(('Scolopax rusticola', 'US-OH'), (1, 1.0))
(('Pheucticus chrysogaster', 'US-OK'), (1, 1.0))
(('Sialia mexicana x currucoides', 'US-OR'), (4, 1.0))
(('Melanitta nigra', 'US-OR'), (285, 1.0))
(('Selasphorus rufus x sasin', 'US-OR'), (29, 1.0))
(('Spinus psaltria x tristis', 'US-OR'), (1, 1.0))
(('Strix sp.', 'US-OR'), (2, 1.0))
(('Agelastes meleagrides', 'US-RI'), (1, 1.0))
(('Coscoroba coscoroba', 'US-SC'), (1, 1.0))
(('Tadorna variegata', 'US-TN'), (4, 1.0))
(('Pionites melanocephalus', 'US-TN'), (1, 1.0))
(('Icterus gularis x graduacauda', 'US-TX'), (244, 1.0))
(('Geothlypis poliocephala x trichas', 'US-TX'), (9, 1.0))
(('Leiothlypis crissalis x virginiae', 'US-TX'), (26, 1.0))
(('Buteo swainsoni x lagopus', 'US-TX'), (1, 1.0))
(('Setophaga graciae x nigrescens', 'US-TX'), (1, 1.0))
(('Geothlypis trichas x Basileuterus rufifrons', 'US-TX'), (14, 1.0))
(('Passerina cyanea x ciris', 'US-TX'), (1, 1.0))
(('Calypte anna x Selasphorus sasin', 'US-TX'), (2, 1.0))
