(('Lophodytes', 'CA-AB'), (13537, 0.7558509863418128))
(('Selasphorus', 'CA-AB'), (7797, 0.7362965776944935))
(('Nycticorax', 'CA-AB'), (6469, 0.7346766218456244))
(('Pandion', 'CA-AB'), (23023, 0.7250451748276627))
(('Chordeiles', 'CA-AB'), (4450, 0.7156005021027836))
(('Spinus', 'CA-AB'), (101194, 0.705088979661417))
(('Setophaga', 'CA-AB'), (169235, 0.7043903944292319))
(('Hirundo', 'CA-AB'), (33950, 0.6872467902857196))
(('Melospiza', 'CA-AB'), (94545, 0.6746906242762787))
(('Cyanocitta', 'CA-AB'), (94079, 0.6723845655048122))
(('Certhia', 'CA-AB'), (9542, 0.6568669222406016))
(('Calidris', 'CA-AB'), (35544, 0.6558468307659188))
(('Hirundinidae', 'CA-AB'), (2415, 0.6479621967799505))
(('Antigone', 'CA-AB'), (8071, 0.6432054381427673))
(('Stelgidopteryx', 'CA-AB'), (10522, 0.6244600321420226))
(('Fringilla', 'CA-AB'), (27, 0.622229224261158))
(('Pheucticus', 'CA-AB'), (13664, 0.6208598637219852))
(('Charadriidae', 'CA-AB'), (8, 0.620456491428505))
(('Vireo', 'CA-AB'), (54116, 0.6164445280254428))
(('Nannopterum', 'CA-AB'), (33988, 0.6063253527668139))
(('Streptopelia', 'CA-AB'), (12724, 0.576298251063287))
(('Podilymbus', 'CA-AB'), (14526, 0.5744293701667308))
(('Podicipedidae', 'CA-AB'), (34, 0.5621414947394305))
(('Pluvialis', 'CA-AB'), (5505, 0.5474683600360142))
(('Geothlypis', 'CA-AB'), (27246, 0.5470764215931113))
(('Parulidae', 'CA-AB'), (1043, 0.475144603573102))
(('Megaceryle', 'CA-AB'), (16885, 0.45836381947218113))
(('Chondestes', 'CA-AB'), (2313, 0.4496025174499905))
(('Progne', 'CA-AB'), (5354, 0.43731822466956605))
(('Dumetella', 'CA-AB'), (21787, 0.4237458311676702))
(('Icterus', 'CA-AB'), (15716, 0.40182627684422234))
(('Phalaenoptilus', 'CA-AB'), (189, 0.39156436751912704))
(('Aix', 'CA-AB'), (10869, 0.3879016262123634))
(('Piranga', 'CA-AB'), (9594, 0.3782301628800284))
(('Melanitta', 'CA-AB'), (5323, 0.3741848607640383))
(('Sialia', 'CA-AB'), (17483, 0.3581288360919469))
(('Sibirionetta', 'CA-AB'), (1, 0.3535393319665671))
(('Dolichonyx', 'CA-AB'), (1825, 0.33575239914037575))
(('Mniotilta', 'CA-AB'), (5845, 0.33031854006021955))
(('Quiscalus', 'CA-AB'), (29818, 0.320931493937755))
(('Ardea', 'CA-AB'), (33193, 0.3028106632956381))
(('Trochilidae', 'CA-AB'), (570, 0.29560814954897485))
(('Passerella', 'CA-AB'), (2698, 0.2947505415078022))
(('Fringillidae', 'CA-AB'), (60, 0.28310108565482967))
(('Ammodramus', 'CA-AB'), (768, 0.26881089719995255))
(('Sayornis', 'CA-AB'), (11960, 0.2262373435849968))
(('Mergellus/Lophodytes/Mergus', 'CA-AB'), (6, 0.2200541210758558))
(('Corvidae', 'CA-AB'), (2, 0.20840213252766057))
(('Archilochus', 'CA-AB'), (6407, 0.20294087024262034))
(('Clangula', 'CA-AB'), (1065, 0.20075263503767457))
(('Hydroprogne', 'CA-AB'), (1702, 0.19537315459222632))
(('Hydrocoloeus', 'CA-AB'), (54, 0.18570193814009422))
(('Strix', 'CA-AB'), (1275, 0.18201815746810682))
(('Toxostoma', 'CA-AB'), (4248, 0.15413527647995487))
(('Zenaida', 'CA-AB'), (23520, 0.15299779897238575))
(('Accipitriformes/Falconiformes', 'CA-AB'), (20, 0.14122315575605035))
(('Scolopacidae', 'CA-AB'), (5, 0.1406849021262308))
(('Numida', 'CA-AB'), (3, 0.1304594020515607))
(('Alectoris', 'CA-AB'), (40, 0.12399238697984814))
(('Carduelis', 'CA-AB'), (6, 0.1170861443502179))
(('Icteria', 'CA-AB'), (550, 0.1105348731582981))
(('Acanthis/Spinus', 'CA-AB'), (2, 0.10576990213278549))
(('Rallus', 'CA-AB'), (606, 0.09530285260175275))
(('Troglodytidae', 'CA-AB'), (17, 0.09526203901692801))
(('Rissa', 'CA-AB'), (121, 0.08681705690236169))
(('Tyrannidae', 'CA-AB'), (36, 0.08606780206484202))
(('Stercorarius', 'CA-AB'), (153, 0.08218932675361981))
(('Pipilo', 'CA-AB'), (4226, 0.08207281291520033))
(('Apodidae', 'CA-AB'), (3, 0.08197499190391667))
(('Cathartes', 'CA-AB'), (5474, 0.06862866048595535))
(('Melopsittacus', 'CA-AB'), (1, 0.06848434858220293))
(('Rallidae', 'CA-AB'), (1, 0.06705056295917651))
(('Oreoscoptes', 'CA-AB'), (53, 0.06348090521627772))
(('Arenaria', 'CA-AB'), (414, 0.0625081563320284))
(('Ardeidae', 'CA-AB'), (3, 0.05811605456984664))
(('Meleagris', 'CA-AB'), (724, 0.05190774352696818))
(('Psittaciformes', 'CA-AB'), (2, 0.04388960670927152))
(('Passerina', 'CA-AB'), (1436, 0.04057669876573179))
(('Aves', 'CA-AB'), (6, 0.03559275906919895))
(('Myiarchus', 'CA-AB'), (650, 0.025572428284190887))
(('Artemisiospiza', 'CA-AB'), (11, 0.024938398015880266))
(('Synthliboramphus', 'CA-AB'), (5, 0.023943470303378036))
(('Coccyzus', 'CA-AB'), (232, 0.023612114172782226))
(('Calypte', 'CA-AB'), (289, 0.021032778383242925))
(('Columbidae', 'CA-AB'), (2, 0.013594271441411067))
(('Sternula', 'CA-AB'), (36, 0.010178020171064877))
(('Centrocercus', 'CA-AB'), (1, 0.009505902596744012))
(('Megascops', 'CA-AB'), (27, 0.008206262604800252))
(('Protonotaria', 'CA-AB'), (25, 0.00762446114502654))
(('Patagioenas', 'CA-AB'), (19, 0.006423178352964909))
(('Somateria', 'CA-AB'), (31, 0.00551267617720551))
(('Caracara', 'CA-AB'), (17, 0.005450244499140109))
(('Bubulcus', 'CA-AB'), (41, 0.005241346026778865))
(('Mimus', 'CA-AB'), (260, 0.004521542393169811))
(('Spiza', 'CA-AB'), (16, 0.004094941094460239))
(('Melanerpes', 'CA-AB'), (398, 0.0038538122629043323))
(('Egretta', 'CA-AB'), (127, 0.003350766237063159))
(('Psittacara', 'CA-AB'), (1, 0.003051852977738303))
(('Phalacrocoracidae', 'CA-AB'), (2, 0.002604528182302494))
(('Chaetura', 'CA-AB'), (62, 0.0025457742424386124))
(('Butorides', 'CA-AB'), (30, 0.0019022278102019672))
(('Vermivora', 'CA-AB'), (5, 0.0010660827081713272))
(('Amphispiza', 'CA-AB'), (2, 0.0008490589657983177))
(('Cardinalis', 'CA-AB'), (123, 0.0008441238299476487))
(('Polioptila', 'CA-AB'), (24, 0.0007798715261357562))
(('Aeronautes', 'CA-AB'), (1, 0.0006691993721965292))
(('Colinus', 'CA-AB'), (2, 0.0006425787761315645))
(('Hylocichla', 'CA-AB'), (7, 0.0005625805325772915))
(('Helmitheros', 'CA-AB'), (1, 0.0005123854874254298))
(('Peucaea', 'CA-AB'), (1, 0.0005021703394947524))
(('Catherpes', 'CA-AB'), (1, 0.0004307191734729743))
(('Callipepla', 'CA-AB'), (1, 0.00011799636577827528))
(('Coragyps', 'CA-AB'), (1, 4.336572221661677e-05))
(('Atelornis', 'CA-BC'), (1, 37.44562622266064))
(('Epthianura', 'CA-BC'), (2, 37.44562622266064))
(('Trochalopteron', 'CA-BC'), (1, 37.44562622266064))
(('Tarsiger', 'CA-BC'), (354, 18.410766226141483))
(('Cypseloides', 'CA-BC'), (10387, 16.347836229605587))
