(('Baeolophus', 'US-GA'), (345328, 0.01962689014374912))
(('Thraupis', 'MX-CHP'), (9577, 0.019617209537299285))
(('Mimus', 'US-GA'), (288903, 0.019579505100325727))
(('Saucerottia', 'MX-OAX'), (8936, 0.01952898081339765))
(('Psaltriparus', 'MX-DIF'), (13737, 0.01952373488554896))
(('Cyclarhis', 'MX-YUC'), (9274, 0.019509824909058136))
(('Larus', 'US-NY'), (1431502, 0.01948531583431805))
(('Nycticorax', 'US-HI'), (25301, 0.019380007574505673))
(('Sporophila', 'MX-MIC'), (2444, 0.019359715362212822))
(('Selasphorus', 'US-CO'), (210577, 0.019346471372127076))
(('Uria', 'US-AK'), (48810, 0.01928246189463951))
(('Tyrannus', 'US-TX'), (737231, 0.01919995885843149))
(('Larus', 'CA-NS'), (277187, 0.01914686339563962))
(('Haliaeetus', 'US-AK'), (114756, 0.019120676923701434))
(('Larus', 'US-AK'), (302986, 0.019102865146668247))
(('Basileuterus', 'MX-NLE'), (3648, 0.019099597376117307))
(('Myiozetetes', 'MX-COL'), (2791, 0.019033910786079564))
(('Sayornis', 'US-CA'), (239928, 0.018984751689544232))
(('Trogon', 'MX-NAY'), (11228, 0.0189253080888557))
(('Pica', 'US-WY'), (38495, 0.018842217828231884))
(('Eupsittula', 'MX-ROO'), (8897, 0.01880972483227157))
(('Pica', 'US-AK'), (69491, 0.018787880849167417))
(('Pipilo', 'US-GA'), (264145, 0.018763986229873506))
(('Diglossa', 'MX-DIF'), (5831, 0.018751266027955835))
(('Calcarius', 'US-AK'), (48011, 0.018702263292927648))
(('Gallinula', 'US-FL'), (389659, 0.018687157404214155))
(('Bucephala', 'CA-BC'), (355021, 0.018669309025194498))
(('Perisoreus', 'CA-YT'), (9309, 0.01866403784817682))
(('Euphonia', 'MX-CHP'), (9140, 0.018656064067131606))
(('Trogon', 'MX-CAM'), (3119, 0.01862776312574593))
(('Psilorhinus', 'MX-SLP'), (1064, 0.018623093746096213))
(('Myiozetetes', 'MX-TAB'), (2370, 0.018622521346936767))
(('Polioptila', 'US-FL'), (533018, 0.018555775492245363))
(('Euphonia', 'MX-VER'), (14613, 0.018548964869634796))
(('Colaptes', 'CA-BC'), (476541, 0.01853413890015117))
(('Phalaropus', 'US-AK'), (51846, 0.018430344550081135))
(('Thryophilus', 'MX-COL'), (1839, 0.018425988576937863))
(('Urile', 'US-AK'), (49988, 0.018415261495347057))
(('Colaptes', 'US-CO'), (443194, 0.0183570498641736))
(('Selasphorus', 'US-NM'), (90897, 0.01834585175145801))
(('Somateria', 'CA-NS'), (44525, 0.01832154808245961))
(('Bucephala', 'CA-AB'), (149429, 0.01816468763483366))
(('Bucephala', 'US-WA'), (416455, 0.018109074677393405))
(('Antigone', 'US-WI'), (231518, 0.018079035592337915))
(('Somateria', 'CA-NU'), (7100, 0.01805005976190985))
(('Junco', 'US-WA'), (548378, 0.017997964906543342))
(('Melanitta', 'US-AK'), (66342, 0.01796416184296808))
(('Sialia', 'US-GA'), (249060, 0.01791832927795732))
(('Amazilia', 'MX-ROO'), (9474, 0.01788768258241491))
(('Crotophaga', 'MX-NAY'), (10642, 0.017866239427944557))
(('Larus', 'CA-BC'), (738469, 0.017838240734188784))
(('Sayornis', 'US-AZ'), (422574, 0.017805721322530214))
(('Psaltriparus', 'US-CA'), (112390, 0.017797060033384965))
(('Sporophila', 'MX-TAB'), (1848, 0.01779176061285146))
(('Trogon', 'MX-ROO'), (8887, 0.017779191809419535))
(('Dives', 'MX-CHP'), (8821, 0.01770295725247354))
(('Callipepla', 'US-ID'), (53404, 0.017675523147501315))
(('Pipilo', 'US-NC'), (295792, 0.0176542945359596))
(('Mimus', 'US-AL'), (130529, 0.017637349840085744))
(('Dives', 'MX-CAM'), (2654, 0.01762224828060007))
(('Cassiculus', 'MX-GRO'), (1274, 0.017575547797823374))
(('Streptopelia', 'US-UT'), (92637, 0.017463517281095364))
(('Thryomanes', 'US-WA'), (258496, 0.017396576005380457))
(('Cassiculus', 'MX-JAL'), (7581, 0.017394224868484635))
(('Leucophaeus', 'US-FL'), (438646, 0.01737271443700917))
(('Amazona', 'MX-CAM'), (2712, 0.017272690085317347))
(('Myiozetetes', 'MX-MOR'), (2502, 0.01724514382944449))
(('Baeolophus', 'US-PA'), (620147, 0.017223648950588425))
(('Amazona', 'MX-CHP'), (8695, 0.017201831727684642))
(('Phainopepla', 'US-AZ'), (200508, 0.01715748735529482))
(('Pternistis', 'US-HI'), (12575, 0.017090252060771256))
(('Myadestes', 'US-HI'), (16072, 0.017090245614355275))
(('Ardenna', 'US-HI'), (14445, 0.017043464492225456))
(('Baeolophus', 'US-VA'), (475019, 0.017031996814866945))
(('Poecile', 'CA-QC'), (1087392, 0.017001118077750652))
(('Megarynchus', 'MX-TAB'), (1430, 0.01700096473131654))
(('Myiozetetes', 'MX-JAL'), (8232, 0.016980502726653666))
(('Histrionicus', 'US-AK'), (43598, 0.01695954609534465))
