Bird,State,Count,Score
Nucifraga,CA-BC,22579,0.000954
Columba,CA-BC,151357,0.000929
Spinus,CA-BC,435416,0.000853
Sturnus,CA-BC,325426,0.000801
Perisoreus,CA-BC,21808,0.000784
Cinclus,CA-BC,17991,0.000776
Anthus,CA-BC,30635,0.000704
Sphyrapicus,CA-BC,67466,0.000701
Arenaria,CA-BC,32378,0.000696
Myadestes,CA-BC,21748,0.000668
Cygnus,CA-BC,67490,0.000649
Dendragapus,CA-BC,12759,0.000604
Bonasa,CA-BC,22978,0.000603
Xanthocephalus,CA-BC,24721,0.000587
Circus,CA-BC,70446,0.000585
Stelgidopteryx,CA-BC,59790,0.000563
Phalacrocoracidae,CA-BC,12257,0.000535
Cypseloides,CA-BC,10387,0.000521
Anser,CA-BC,42401,0.000466
Chroicocephalus,CA-BC,32250,0.000459
Gallinago,CA-BC,33858,0.000457
Pooecetes,CA-BC,22808,0.000384
Pinicola,CA-BC,13679,0.000377
Limnodromus,CA-BC,30699,0.000356
Glaucidium,CA-BC,8923,0.000333
Rallus,CA-BC,24062,0.000301
Spatula,CA-BC,124389,0.000276
Aegolius,CA-BC,7510,0.000263
Dryocopus,CA-BC,89826,0.000255
Synthliboramphus,CA-BC,5042,0.000238
Anatinae,CA-BC,13717,0.000235
Actitis,CA-BC,55315,0.000185
Picoides,CA-BC,6024,0.000180
Accipiter,CA-BC,98168,0.000179
Alectoris,CA-BC,3968,0.000162
Anatidae,CA-BC,4617,0.000152
Porzana,CA-BC,17407,0.000152
Asio,CA-BC,7198,0.000124
Falco,CA-BC,130381,0.000122
Aquila,CA-BC,8521,0.000104
Ardenna,CA-BC,6931,0.000100
Ptychoramphus,CA-BC,2398,0.000094
Canachites,CA-BC,2528,0.000084
Alcidae,CA-BC,1728,0.000077
Phalaropus,CA-BC,15565,0.000077
Alauda,CA-BC,1789,0.000076
Hydrobates,CA-BC,3142,0.000061
Strix,CA-BC,21578,0.000059
Numenius,CA-BC,12685,0.000059
Passeriformes,CA-BC,7107,0.000053
Hirundinidae,CA-BC,11875,0.000052
Fringillidae,CA-BC,1578,0.000051
Picidae,CA-BC,3684,0.000050
Aeronautes,CA-BC,5193,0.000044
Acanthis,CA-BC,18766,0.000033
Charadriiformes,CA-BC,2884,0.000032
Phoebastria,CA-BC,1505,0.000028
Psiloscops,CA-BC,790,0.000027
Podicipedidae,CA-BC,658,0.000026
Leucosticte,CA-BC,2437,0.000023
Lagopus,CA-BC,1545,0.000022
Tarsiger,CA-BC,354,0.000018
Fulmarus,CA-BC,1590,0.000015
Tetraoninae,CA-BC,293,0.000014
Phalaenoptilus,CA-BC,1644,0.000012
Geothlypis,CA-BC,145773,0.000012
Xema,CA-BC,1354,0.000011
Fringilla,CA-BC,333,0.000011
Chordeiles,CA-BC,18369,0.000010
Apodidae,CA-BC,249,0.000008
Prunella,CA-BC,120,0.000005
Pyrrhula,CA-BC,5,0.000000
Mergellus,CA-BC,27,0.000000
Chrysolophus,CA-BC,2,-0.000000
Chloris,CA-BC,1,-0.000000
Emberiza,CA-BC,25,-0.000000
Xenus,CA-BC,14,-0.000000
Sibirionetta,CA-BC,2,-0.000000
Callonetta,CA-BC,2,-0.000000
Tadorna,CA-BC,6,-0.000001
Corvidae,CA-BC,8,-0.000001
Columbidae,CA-BC,406,-0.000001
Charadriidae,CA-BC,8,-0.000002
Melopsittacus,CA-BC,7,-0.000002
Phylloscopus,CA-BC,136,-0.000002
Procellariidae,CA-BC,197,-0.000002
Pagophila,CA-BC,43,-0.000003
Rhodostethia,CA-BC,4,-0.000004
Numida,CA-BC,1,-0.000004
Strigiformes,CA-BC,221,-0.000004
Scolopacidae,CA-BC,28,-0.000004
Carduelis,CA-BC,2,-0.000008
Cathartidae,CA-BC,2,-0.000008
Pavo,CA-BC,300,-0.000008
Motacilla,CA-BC,181,-0.000010
Polysticta,CA-BC,1,-0.000011
Coturnicops,CA-BC,77,-0.000014
Oenanthe,CA-BC,37,-0.000014
Phoenicopterus,CA-BC,3,-0.000015
Aves,CA-BC,109,-0.000020
Tyrannidae,CA-BC,819,-0.000022
Troglodytidae,CA-BC,83,-0.000023
Acridotheres,CA-BC,2271,-0.000024
Alle,CA-BC,1,-0.000024
Rhynchophanes,CA-BC,34,-0.000025
Pterodroma,CA-BC,42,-0.000025
Oreortyx,CA-BC,3,-0.000027
Oporornis,CA-BC,243,-0.000032
Grus,CA-BC,8,-0.000035
Piranga,CA-BC,73464,-0.000035
Fratercula,CA-BC,1817,-0.000037
Hydrocoloeus,CA-BC,110,-0.000040
Stercorarius,CA-BC,4578,-0.000041
Aethia,CA-BC,43,-0.000043
Basilinna,CA-BC,76,-0.000045
Accipitridae,CA-BC,2504,-0.000048
Perdix,CA-BC,486,-0.000049
Clangula,CA-BC,14502,-0.000054
Artemisiospiza,CA-BC,16,-0.000058
Puffinus,CA-BC,108,-0.000062
Alopochen,CA-BC,3,-0.000075
Tympanuchus,CA-BC,2,-0.000082
Oreoscoptes,CA-BC,856,-0.000085
Gymnorhinus,CA-BC,1,-0.000086
Pluvialis,CA-BC,27709,-0.000086
Aix,CA-BC,80127,-0.000094
Sula,CA-BC,24,-0.000095
Eugenes,CA-BC,4,-0.000106
Calcarius,CA-BC,4271,-0.000119
Rissa,CA-BC,1679,-0.000127
Passerellidae,CA-BC,4627,-0.000133
Athene,CA-BC,4,-0.000141
Calamospiza,CA-BC,30,-0.000145
Tyto,CA-BC,5,-0.000145
Myioborus,CA-BC,1,-0.000168
Bartramia,CA-BC,303,-0.000170
Myiopsitta,CA-BC,1,-0.000173
Parabuteo,CA-BC,4,-0.000173
Icteridae,CA-BC,1962,-0.000173
Elanus,CA-BC,33,-0.000181
Podilymbus,CA-BC,70467,-0.000184
Catherpes,CA-BC,3289,-0.000187
Calidris,CA-BC,154652,-0.000188
Parulidae,CA-BC,2784,-0.000194
Botaurus,CA-BC,4335,-0.000198
Limosa,CA-BC,5687,-0.000206
Salpinctes,CA-BC,2604,-0.000221
Riparia,CA-BC,12341,-0.000258
Cairina,CA-BC,190,-0.000263
Chlidonias,CA-BC,2319,-0.000291
Plectrophenax,CA-BC,4028,-0.000299
Progne,CA-BC,29741,-0.000323
Ammospiza,CA-BC,668,-0.000347
Amphispiza,CA-BC,129,-0.000361
Bubo,CA-BC,21509,-0.000373
Scolopax,CA-BC,1,-0.000386
Megascops,CA-BC,1827,-0.000416
Ammodramus,CA-BC,488,-0.000419
Pheucticus,CA-BC,56212,-0.000430
Colinus,CA-BC,4,-0.000486
Caracara,CA-BC,11,-0.000486
Protonotaria,CA-BC,18,-0.000511
Hydroprogne,CA-BC,15757,-0.000518
Sternula,CA-BC,7,-0.000552
Oxyura,CA-BC,30000,-0.000560
Petrochelidon,CA-BC,24836,-0.000565
Mycteria,CA-BC,1,-0.000584
Spiza,CA-BC,102,-0.000605
Parkesia,CA-BC,17451,-0.000606
Antigone,CA-BC,25336,-0.000606
Pyrocephalus,CA-BC,1,-0.000607
Recurvirostra,CA-BC,2549,-0.000614
Icteria,CA-BC,2937,-0.000620
Lanius,CA-BC,19222,-0.000625
Chondestes,CA-BC,2954,-0.000645
Hirundo,CA-BC,132101,-0.000656
Pandion,CA-BC,80019,-0.000683
Vermivora,CA-BC,1,-0.000710
Dolichonyx,CA-BC,2527,-0.000714
Somateria,CA-BC,323,-0.000860
Himantopus,CA-BC,1648,-0.000869
Contopus,CA-BC,67664,-0.000902
Nycticorax,CA-BC,6147,-0.001039
Plegadis,CA-BC,347,-0.001135
Bubulcus,CA-BC,298,-0.001205
Thalasseus,CA-BC,33,-0.001223
Gallinula,CA-BC,5,-0.001242
Sturnella,CA-BC,46488,-0.001385
Eremophila,CA-BC,5284,-0.001385
Coccyzus,CA-BC,48,-0.001518
Aphelocoma,CA-BC,1094,-0.001646
Nannopterum,CA-BC,131999,-0.001669
Spizelloides,CA-BC,5213,-0.001764
Meleagris,CA-BC,5088,-0.001906
Hylocichla,CA-BC,18,-0.001942
Sitta,CA-BC,294618,-0.001969
Butorides,CA-BC,3841,-0.002257
Sterna,CA-BC,4303,-0.002299
Seiurus,CA-BC,1976,-0.002318
Charadrius,CA-BC,139030,-0.002462
Tringa,CA-BC,77789,-0.002516
Molothrus,CA-BC,87603,-0.002648
Pelecanus,CA-BC,7903,-0.002657
Mniotilta,CA-BC,1422,-0.002687
Chaetura,CA-BC,20765,-0.002691
Ardea,CA-BC,265881,-0.002910
Leucophaeus,CA-BC,2446,-0.002919
