Bird,State,Count,Score
Thryothorus,US-MD,543555,0.017319
Gavia,US-AK,96452,0.017284
Aythya,CA-NT,5770,0.017283
Campylorhynchus,MX-ZAC,136,0.017270
Corvus,US-VT,325282,0.017223
Tyrannus,MX-AGU,1163,0.017204
Mimus,US-MS,66564,0.017190
Auriparus,US-AZ,386191,0.017190
Myiozetetes,MX-VER,26189,0.017168
Junco,CA-YT,20135,0.017166
Melozone,US-AZ,388898,0.017038
Pitangus,MX-GUA,2366,0.016983
Toxostoma,MX-HID,941,0.016930
Setophaga,US-GA,659981,0.016908
Peucaea,MX-MOR,2888,0.016896
Melanerpes,MX-COA,2552,0.016866
Columbina,MX-BCS,10317,0.016849
Ardea,US-LA,223799,0.016821
Pitangus,MX-ROO,15335,0.016814
Haemorhous,MX-COA,2528,0.016814
Hirundo,MX-TLA,313,0.016796
Pica,US-WY,38495,0.016757
Quiscalus,MX-PUE,2855,0.016702
Poecile,US-NH,202762,0.016679
Cynanthus,MX-MIC,3017,0.016652
Melozone,MX-HID,788,0.016649
Baeolophus,US-NC,416651,0.016639
Myiozetetes,MX-ROO,14919,0.016635
Dryobates,US-MN,436581,0.016630
Cardinalis,US-AL,167600,0.016600
Cardinalis,US-GA,477796,0.016600
Amazilia,MX-YUC,15566,0.016586
Poecile,CA-AB,273431,0.016563
Passerina,MX-COL,3750,0.016524
Sterna,CA-NU,3029,0.016521
Anas,CA-AB,264745,0.016506
Baeolophus,US-GA,345328,0.016494
Icterus,MX-SIN,5929,0.016479
Cardinalis,US-AR,133523,0.016448
Sturnus,US-DC,53975,0.016445
Thryothorus,US-AR,91280,0.016438
Tyrannus,MX-MIC,4001,0.016419
Gallus,US-HI,23926,0.016417
Psilorhinus,MX-SLP,1064,0.016368
Cardinalis,US-KY,158980,0.016366
Anas,CA-QC,1111086,0.016348
Saltator,MX-YUC,15235,0.016326
Pitangus,MX-JAL,13974,0.016307
Sicalis,US-HI,23701,0.016275
Corvus,CA-MB,135701,0.016269
Trogon,MX-CHP,15105,0.016256
Melozone,MX-AGU,861,0.016230
Pitangus,MX-NAY,17827,0.016166
Calypte,US-AZ,393373,0.016161
Myiozetetes,MX-COL,2791,0.016130
Sturnella,US-SD,28631,0.016130
Zenaida,US-NM,293725,0.016103
Perisoreus,CA-NT,3748,0.016084
Nycticorax,US-HI,25301,0.016078
Sporophila,MX-COL,2771,0.016078
Fregata,MX-BCS,9297,0.016031
Spatula,US-ND,46662,0.016028
Cardellina,MX-PUE,1666,0.016020
Sitta,US-VT,220081,0.016017
Rupornis,MX-TAB,2140,0.016016
Tyrannus,MX-YUC,20484,0.015979
Amazona,MX-TAB,2139,0.015958
Myiozetetes,MX-CAM,3772,0.015948
Mimus,US-LA,164645,0.015924
Himantopus,US-HI,24471,0.015907
Egretta,MX-YUC,20048,0.015868
Baeolophus,US-TN,241408,0.015858
Cardellina,MX-TLA,229,0.015828
Cyanocorax,MX-SLP,1044,0.015820
Coragyps,MX-TAB,2572,0.015813
Pitangus,MX-OAX,13943,0.015802
Bucephala,CA-AB,148856,0.015791
Spatula,CA-SK,39406,0.015771
