Bird,State,Count,Score
Cyanolyca,MX-CHP,1462,0.484590
Spindalis,US-FL,1506,0.482888
Xenops,MX-CHP,748,0.482856
Psittaciformes,US-FL,2645,0.482466
Lagopus,US-AK,20473,0.481212
Onychorhynchus,MX-CHP,1031,0.478249
Chrysolophus,US-HI,56,0.472545
Mionectes,MX-CHP,1095,0.471716
Dendrocygna,US-TX,286302,0.470664
Spindalis,MX-ROO,1317,0.465286
Tarsiger,CA-BC,354,0.464827
Cairina,US-FL,97540,0.462363
Cyclarhis,MX-YUC,9274,0.460157
Pampa,MX-VER,6699,0.456984
Poecilotriccus,MX-CHP,343,0.456657
Peucaea,US-AZ,103715,0.447609
Tunchiornis,MX-CHP,399,0.446525
Grus,US-TX,12379,0.442455
Cassiculus,MX-NAY,14557,0.442319
Oreortyx,US-CA,8665,0.440023
Dromococcyx,MX-YUC,854,0.435759
Todirostrum,MX-VER,2848,0.434701
Oreortyx,US-OR,8746,0.431863
Amazilia,US-TX,73779,0.430268
Pyrocephalus,US-AZ,194003,0.427604
Eucometis,MX-ROO,1006,0.425756
Pardirallus,MX-NAY,784,0.424821
Lanio,MX-CHP,264,0.423834
Xiphocolaptes,MX-CHP,248,0.423371
Psilorhinus,MX-VER,20858,0.423052
Elaenia,MX-ROO,2906,0.412724
Rupornis,MX-VER,16733,0.411582
Anthracothorax,MX-ROO,2764,0.410932
Cypseloides,CA-BC,10387,0.410686
Empidonomus,CA-ON,348,0.404596
Mergellus,US-AK,382,0.403278
Cyanolyca,MX-OAX,1217,0.403257
Pachysylvia,MX-CHP,3145,0.402855
Morococcyx,MX-OAX,1718,0.399831
Gallinula,US-FL,389658,0.399660
Elanus,US-TX,58756,0.397878
Cyanerpes,MX-CHP,3862,0.396944
Rissa,US-AK,60795,0.395653
Hylorchilus,MX-CHP,531,0.395574
Psittacara,US-TX,15912,0.394955
Automolus,MX-CHP,550,0.392696
Burhinus,MX-VER,889,0.391774
Ramphocaenus,MX-CHP,1758,0.391213
Oriturus,MX-DIF,2236,0.389857
Dendrocolaptinae,MX-CHP,176,0.388093
Pteroglossus,MX-CHP,3158,0.386582
Fregata,US-FL,81006,0.383336
Busarellus,MX-VER,506,0.382972
Pardirallus,US-TX,818,0.382765
Chloris,US-OR,43,0.382195
Cuculus,US-AK,426,0.380679
Threskiornithidae,US-TX,262,0.379778
Eupherusa,MX-NAY,1153,0.377530
Melopsittacus,US-FL,679,0.376456
Platyrinchus,MX-CHP,1026,0.375090
Vireolanius,MX-CHP,1809,0.374650
Pionus,MX-CHP,2393,0.373032
Pterodroma,US-NC,7392,0.369269
Sibirionetta,US-AZ,122,0.365176
